Supplementary table 2_5: Pearson correlation results of N-scRNA																																																										
Overall				Human-specific																	Common																						Chimpanzee-specific															
Hspecific	Common	Cspecific		cortical neurons		GM/S dorsal progenitors/radial glia		mesenchymal-like cells		midbrain/hindbrain	neuroectodermal-like cells		NSC/radial glia		NSCs	stem cells		ventral progenitors and neurons			cortical neurons				GM/S dorsal progenitors/radial glia				mesenchymal-like cells				midbrain/hindbrain	neuroectodermal-like cells	NSC/radial glia	NSCs	stem cells	ventral progenitors and neurons					cortical neurons		GM/S dorsal progenitors/radial glia		mesenchymal-like cells		midbrain/hindbrain	neuroectodermal-like cells		NSC/radial glia		NSCs		stem cells		ventral progenitors and neurons
n = 789	n = 214	n = 268		n = 11		n = 781		n = 9		n = 0	n = 2		n = 11		n = 0	n = 20		n = 62			n = 71				n = 78				n = 13				 n = 0	 n = 0	 n = 1	 n = 0	 n = 0	n = 3					n = 138		n = 30		n = 111		n = 1	n = 12		n = 11		n = 13		n = 47		n = 1
BCL11A	FEZF2	DRAXIN		pos	neg	pos	neg	pos	neg		pos	neg	pos	neg		pos	neg	pos	neg		human		chimp		human		chimp		human		chimp				pos in both species			human		chimp			pos	neg	pos	neg	pos	neg	pos	pos	neg	pos	neg	pos	neg	pos	neg	pos
SEMA3E	RPL12	TFAP2A				HNRNPA2B1	EIF4A2																																																			
PEG10	RPL7A	GRIK2				CBX3	MASP1																																																			
DYNC1I1	RPL27A	AQP1				PPIA	MYL5																																																			
SHFM1	RPS13	FAM3C				H2AFV	TMEM129																																																			
TNPO3	FAU	GPM6B				CHCHD2	FGFR3																																																			
STRIP2	RPS3	SMS				SRRM3	LRPAP1																																																			
TCAF1	RPS25	GFRA2				SEMA3E	NSG1																																																			
EZH2	RPS24	FZD3				COL1A2	KLHL5																																																			
PRKX	RPL41	XKR4				PEG10	LIMCH1																																																			
ARX	RPL6	PRSS23				DYNC1I1	HOPX																																																			
NDUFB11	RPLP0	RAB38				SHFM1	SNCA																																																			
SMC1A	RPL21	CRYAB				TNPO3	TSPAN5																																																			
TCEAL7	TPT1	HSPB2				STRIP2	BDH2																																																			
WBP5	RPS29	TSPAN15				TCAF1	LEF1																																																			
NGFRAP1	RPL4	GFRA1				EZH2	RPL34																																																			
TCEAL3	RPLP1	CD9				PRKX	NEUROG2																																																			
PRPS1	RPS17	PEBP1				ARX	SNHG8																																																			
AMMECR1	RPS2	MMP17				NDUFB11	FAT4																																																			
HPRT1	RPS15A	CRYL1				SMC1A	INTU																																																			
HMGB3	RPL13	GNG2				TMSB15A	PGRMC2																																																			
CDCA2	RPL26	ITPK1				TCEAL7	SCOC																																																			
ESCO2	RPL23	HSP90AA1				WBP5	RNF175																																																			
PBK	RPL19	KIF26A				NGFRAP1	MAP9																																																			
WHSC1L1	RPL27	METRN				TCEAL3	MSMO1																																																			
SNTG1	RPS21	PMP22				PRPS1	CPE																																																			
ST18	RPS15	CNP				AMMECR1	SH3RF1																																																			
FAM110B	RPL36	CDH19				HPRT1	UFSP2																																																			
MIR124-2HG	RPL18A	PRNP				HMGB3	PDLIM3																																																			
MYBL1	UBA52	NFATC2				CDCA2	SORBS2																																																			
ZNF704	RPS16	PHACTR3				ESCO2	CMBL																																																			
CCNE2	RPS19	COL20A1				PBK	MYO10																																																			
COX6C	RPL18	LGI4				WHSC1L1	SLC1A3																																																			
ATAD2	RPL13A	FXYD1				SNTG1	HMGCS1																																																			
MTSS1	RPS5	CADM4				ST18	ITGA2																																																			
DNAJA1	RPL3	POLR2F				FAM110B	MOCS2																																																			
DCTN3	ENO1	SOX10				MIR124-2HG	MRPS27																																																			
DAPK1	MFAP2	S100B				MYBL1	IQGAP2																																																			
GADD45G	DMRTA2	LRP5L				ZNF704	VCAN																																																			
BICD2	CNN3	RBMS3				CCNE2	NR2F1-AS1																																																			
ANP32B	C1orf61	SEC22A				COX6C	NR2F1																																																			
SMC2	CRABP2	NDST3				ATAD2	LIX1																																																			
TXN	EMX1	NPR3				MTSS1	PAM																																																			
CDK5RAP2	HES1	PPIC				PTPRD	CDO1																																																			
PBX3	PYURF	HIST1H2AL				NFIB	SEMA6A																																																			
