,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
FUBP1,5.01695160360222e-245,0.418821601780912,0.735,0.483,2.24438346938749e-240,7,FUBP1
CBX2,2.71903954353411e-244,0.295036569070675,0.368,0.162,1.21638953019542e-239,7,CBX2
EZR3,6.40327115384313e-243,0.345709078358207,0.69,0.407,2.86456738338326e-238,7,EZR
HADH1,7.24088545251156e-243,0.366607562983051,0.565,0.319,3.23928251603557e-238,7,HADH
HMGN32,5.96890862206173e-242,0.510862250051287,0.953,0.799,2.67025096116554e-237,7,HMGN3
CCDC109B,8.00736015539633e-242,0.373436384642169,0.314,0.132,3.5821726391181e-237,7,CCDC109B
EFNB11,7.92029201464714e-240,0.369586466317502,0.644,0.364,3.54322183567254e-235,7,EFNB1
GLO14,1.44349885954558e-239,0.429248237966093,0.882,0.646,6.45763649806311e-235,7,GLO1
ZFP36L13,3.9484399706385e-239,0.490170511306527,0.682,0.419,1.76637410526484e-234,7,ZFP36L1
CDCA7L2,4.96840775607e-239,0.363824355881277,0.486,0.247,2.22266689375547e-234,7,CDCA7L
UG0898H091,7.71491945760889e-238,0.269954263819255,0.309,0.122,3.45134636855591e-233,7,UG0898H09
FABP71,7.83992936969048e-238,0.528568982299591,0.828,0.596,3.50727080282473e-233,7,FABP7
UBB1,8.82965778617821e-238,0.511003616435632,0.945,0.953,3.95003570722468e-233,7,UBB
DACH11,3.12780589424996e-237,0.286567181052979,0.372,0.159,1.39925524485166e-232,7,DACH1
ANAPC111,3.14654587718246e-237,0.439252511044218,0.944,0.826,1.40763876361635e-232,7,ANAPC11
LINC004613,1.216612229188e-236,0.368015576561938,0.804,0.489,5.44263646849544e-232,7,LINC00461
PIM1,1.10555403823196e-235,0.341277528600258,0.38,0.176,4.94580654543449e-231,7,PIM1
CD992,1.0850679316457e-234,0.405978433908743,0.463,0.237,4.85415989901022e-230,7,CD99
HNRNPA32,1.09108380813308e-234,0.4119246985472,0.958,0.827,4.88107252406413e-230,7,HNRNPA3
CNTFR2,1.50873174518405e-234,0.337558330828391,0.642,0.351,6.74946233525535e-230,7,CNTFR
ANXA54,6.89142765532027e-234,0.37039391189248,0.572,0.316,3.08294907588407e-229,7,ANXA5
SLC1A31,1.07116987922349e-233,0.35219500476703,0.319,0.131,4.79198557169419e-229,7,SLC1A3
NUP35,3.17750264075211e-233,0.284016701747148,0.395,0.186,1.42148758136687e-228,7,NUP35
KHDRBS11,1.97898742999003e-232,0.360726884873034,0.974,0.893,8.85319816680338e-228,7,KHDRBS1
CDC42EP41,3.22651632650641e-232,0.280392602762564,0.464,0.225,1.44341434382591e-227,7,CDC42EP4
CALM32,5.27233443498817e-232,0.446521482822114,0.965,0.873,2.35863153283631e-227,7,CALM3
HNRNPUL1,1.35339780445727e-231,0.399430508615636,0.852,0.655,6.05456041802006e-227,7,HNRNPUL1
